NAME,TYPE,COST,STRENGTH,WEAKNESS,OPPORTUNITIES,THREATS,P_LOW,P_HIGH,YEARLY_LOW,YEARLY_HIGH
Taj GVK Hotels & Resorts Ltd.,"Hotel, Resort & Restaurants",250.50,"Strong Momentum: Price above short, medium and long term moving averages",MFs decreased their shareholding last quarter,"Companies with current TTM PE Ratio less than 3 Year, 5 Year and 10 Year PE ",No Threat for this stock,248.45,253.55,173.05,286.15
Tamarai Mills Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
Talwalkars Healthclubs  Ltd.,Miscellaneous,0.95,Annual Net Profits improving for last 2 years,Negative Breakdown Third Support (LTP < S3),Stock with Low PE (PE < = 10) ,Companies where promoters have increased their pledged stocks,0.95,1.03,0.61,3.01
Tamilnadu Steel Tubes Ltd.,Steel - Tubes & Pipes,22.01,"Strong Momentum: Price above short, medium and long term moving averages",Decline in Net Profit with falling Profit Margin (QoQ),Positive Breakout Third Resistance ( LTP > R3) ,No Threat for this stock,22.01,22.01,9.05,25.41
Tai Industries Ltd.,Trading,46.77,Growth in Net Profit with increasing Profit Margin (QoQ),Negative Breakdown First Support (LTP < S1),"Companies with current TTM PE Ratio less than 3 Year, 5 Year and 10 Year PE ",No Threat for this stock,46.40,50.44,33.66,64.39
Taksheel Solutions Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
TAHMAR ENTERPRISES Ltd.,Paper & Paper Products,2.69,"Strong Momentum: Price above short, medium and long term moving averages",Red Flag: High Interest Payments Compared to Earnings,Turnaround companies- loss to profit QoQ ,No Threat for this stock,2.69,2.69,2.13,21.34
Swati Projects Ltd.,Miscellaneous,27.12,Strong Annual EPS Growth,Decline in Quarterly Net Profit with falling Profit Margin (YoY),No Opportunity for this stock,No Threat for this stock,27.12,27.12,10.00,27.12
Tai Chonbang Textile Industries Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
Taaza International Ltd.,Retailing,7.39,Effectively using its capital to generate profit - RoCE improving in last 2 years,New 52 week low today,Stock with Low PE (PE < = 10) ,No Threat for this stock,7.13,7.74,7.13,20.15
Swastik Nitro Aromatics Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
Swede (India) Teltronics Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
Tainwala Chemicals and Plastics (India) Ltd.,Plastic Products - Others,143.35,Company with high TTM EPS Growth,Poor cash generated from core business - Declining Cash Flow from Operations for last 2 years,No Opportunity for this stock,No Threat for this stock,140.35,148.00,97.55,166.60
Sweatamber Steel Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
Take Solutions Ltd.,Pharmaceuticals & Drugs,28.47,"Strong Momentum: Price above short, medium and long term moving averages",Poor cash generated from core business - Declining Cash Flow from Operations for last 2 years,Highest Recovery from 52 Week Low ,No Threat for this stock,28.30,29.25,12.75,30.10
TAAL Enterprises Ltd.,Aerospace & Defence,"3,116.05","Strong Momentum: Price above short, medium and long term moving averages",Inefficient use of shareholder funds - ROE declining in the last 2 years,Highest Recovery from 52 Week Low ,No Threat for this stock,3115.00,3199.00,1510.00,3571.00
Swastik Rubber Products Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
Swastik Pipe Ltd.,Plastic Products,,"Strong Momentum: Price above short, medium and long term moving averages","High volume, top losers",RSI indicating price strength ,No Threat for this stock,99.00,108.90,68.75,126.00
Swastik Surfactants Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
Swastika Investsmart Ltd.,Finance - Stock Broking,490.00,Growth in Net Profit with increasing Profit Margin (QoQ),Inefficient use of capital to generate profits - RoCE declining in the last 2 years,Highest Recovery from 52 Week Low ,No Threat for this stock,480.00,505.45,144.10,558.90
Swarnima Oil Industries Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
Swastik Asbestos Products. Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
Swasti Vinayaka Art And Heritage Corporation Ltd.,Diversified,5.17,"Strong Momentum: Price above short, medium and long term moving averages",Decline in Quarterly Net Profit (YoY),Highest Recovery from 52 Week Low ,No Threat for this stock,4.88,5.28,2.26,5.96
Swasti Vinayaka Synthetics Ltd.,Textiles & Apparel,8.03,"Strong Momentum: Price above short, medium and long term moving averages",Declining Net Cash Flow : Companies not able to generate net cash,Negative to Positive growth in Sales and Profit with Strong Price momentum ,No Threat for this stock,8.00,8.45,4.21,8.70
Swaraj Engines Ltd.,Auto Ancillaries - Diesel Engines,"2,349.65",Effectively using its capital to generate profit - RoCE improving in last 2 years,Decline in Net Profit with falling Profit Margin (QoQ),No Opportunity for this stock,No Threat for this stock,2341.00,2424.00,1513.20,2553.75
Swan Energy Ltd.,Textiles & Apparel,592.85,"Strong Momentum: Price above short, medium and long term moving averages",Red Flag: High Interest Payments Compared to Earnings,Results Screener: Stocks with upcoming results which are seeing positive shifts in share price ,No Threat for this stock,587.00,597.00,192.65,597.00
Swajas Air Charters Ltd.,,,Company with Low Debt,Companies with growing costs YoY for long term projects,Positive breakout Third resistance ( LTP > R3) ,No Threat for this stock,,,,
Swaraj Suiting Ltd.,Textiles,,"Strong Momentum: Price above short, medium and long term moving averages",Negative Breakdown Second Support (LTP < S2),Highest Recovery from 52 Week Low ,No Threat for this stock,119.60,126.00,20.50,145.05
Swarnsarita Jewels India Ltd.,Diamond  &  Jewellery,34.10,"Strong Momentum: Price above short, medium and long term moving averages",Inefficient use of capital to generate profits - RoCE declining in the last 2 years,Highest Recovery from 52 Week Low ,No Threat for this stock,33.52,34.50,15.00,42.39
Swastik Safe Deposit & Investments Ltd.,Finance - General,0.00,Company with high TTM EPS Growth,Decline in Net Profit with falling Profit Margin (QoQ),"Companies with current TTM PE Ratio less than 3 Year, 5 Year and 10 Year PE ",No Threat for this stock,0.00,0.00,6.30,6.61
Swashthik Plascon Ltd.,Plastic Products,103.00,No Strength for this stock,Low Piotroski Score : Companies with weak financials,No Opportunity for this stock,No Threat for this stock,102.25,107.95,86.00,133.95
Swarnajyothi Agrotech and Power Ltd.,Computers - Software Medium & Small,2.85,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,2.85,2.85,2.72,4.60
Swaika Vanaspati Products Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
Swarna Securites Ltd.,Finance - General,55.26,Company with No Debt,Negative Breakdown Third Support (LTP < S3),No Opportunity for this stock,No Threat for this stock,50.00,55.26,33.31,165.00
Swadeshi Industries Leasing Company Ltd.,"Plastics - Pet Bottels, Jars & Containers",1.91,"Strong Momentum: Price above short, medium and long term moving averages",Poor cash generated from core business - Declining Cash Flow from Operations for last 2 years,No Opportunity for this stock,No Threat for this stock,1.91,1.91,0.34,1.91
Swagtam Trading & Services Ltd.,Miscellaneous,93.99,"Strong Momentum: Price above short, medium and long term moving averages",Poor cash generated from core business - Declining Cash Flow from Operations for last 2 years,Highest Recovery from 52 Week Low ,No Threat for this stock,93.99,93.99,12.50,230.60
MS Securities Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
SVPCL Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
Swadeshi Polytex Ltd.,Textiles & Apparel,100.65,"Strong Momentum: Price above short, medium and long term moving averages",Negative Breakdown First Support (LTP < S1),Negative to Positive growth in Sales and Profit with Strong Price momentum ,No Threat for this stock,100.65,100.65,28.05,119.40
SW Investments Ltd.,Finance - Investments,50.40,Company with No Debt,Poor cash generated from core business - Declining Cash Flow from Operations for last 2 years,No Opportunity for this stock,No Threat for this stock,50.40,50.40,32.30,67.25
Swad Industries and Leasing Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
SVS Ventures Ltd.,Construction - Real Estate,10.00,"Strong Momentum: Price above short, medium and long term moving averages",Poor cash generated from core business - Declining Cash Flow from Operations for last 2 years,No Opportunity for this stock,No Threat for this stock,9.67,10.20,6.67,19.35
SVC Superchem Ltd.,Commodity Chemicals,3.97,MACD Crossover Above Signal Line,Negative Breakdown Third Support (LTP < S3),Stock with Low PE (PE < = 10) ,No Threat for this stock,3.98,4.00,2.03,4.80
SVP Global Textiles Ltd.,Textiles,8.91,Growth in Net Profit with increasing Profit Margin (QoQ),Red Flag: High Interest Payments Compared to Earnings,Stock with Low PE (PE < = 10) ,No Threat for this stock,8.95,9.05,7.45,43.55
SVC Resources Ltd.,Metals & Mining,1.86,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,1.85,1.86,1.70,1.86
SVEC Constructions Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
Svarnim Trade Udyog Limited,,0.00,Company with No Debt,Declining profits every quarter for the past 2 quarters,Positive Breakout Third Resistance ( LTP > R3) ,No Threat for this stock,0.00,0.00,,
SVOGL Oil Gas and Energy Ltd.,Oil Drilling And Exploration,2.20,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,2.06,2.25,2.06,3.12
Svaraj Trading & Agencies Ltd.,Finance - Investment,8.28,"Strong Momentum: Price above short, medium and long term moving averages",Inefficient use of capital to generate profits - RoCE declining in the last 2 years,Stock with Low PE (PE < = 10) ,No Threat for this stock,8.00,8.80,4.80,8.85
Suzlon Energy PP Ltd.,Power Generation/Distribution,5.52,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,5.15,5.70,4.70,9.24
SVA India Ltd.,Finance - Investments,8.13,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,8.13,8.13,7.75,8.13
Svadeshi Millls Company Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
Suzlon Energy Ltd.,Electric Equipment,42.05,"Strong Momentum: Price above short, medium and long term moving averages",MFs decreased their shareholding last quarter,Negative to Positive growth in Sales and Profit with Strong Price momentum ,No Threat for this stock,41.25,42.45,6.95,45.70
Suven Life Sciences RE Ltd.,Pharmaceuticals & Drugs,3.05,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,1.90,3.21,1.52,10.00
Suzlon Energy RE Ltd.,Power Generation/Distribution,1.32,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,1.10,1.40,0.95,10.00
Suyog Gurbaxani Funicular Ropeways Ltd.,,125.02,"Strong Momentum: Price above short, medium and long term moving averages",Companies with High Debt,Positive Breakout Third Resistance ( LTP > R3) ,No Threat for this stock,125.02,125.02,45.00,125.02
Svam Software Ltd.,Software,3.83,"Strong Momentum: Price above short, medium and long term moving averages",Inefficient use of capital to generate profits - RoCE declining in the last 2 years,Positive Breakout Third Resistance ( LTP > R3) ,No Threat for this stock,3.47,3.83,1.81,4.52
Suvidhaa Infoserve Ltd.,Finance - Others,7.70,Effectively using its capital to generate profit - RoCE improving in last 2 years,Degrowth in Revenue and Profit,Highest Recovery from 52 Week Low ,No Threat for this stock,7.85,7.85,3.20,10.50
Suyog Telematics Ltd.,Telecommunications Services,"1,139.30","Strong Momentum: Price above short, medium and long term moving averages",Negative Breakdown First Support (LTP < S1),Highest Recovery from 52 Week Low ,No Threat for this stock,1134.00,1189.80,326.60,1225.00
Suvarna Aqua Farm and Exports Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
Suumaya Industries Ltd.,Miscellaneous,,Company with Low Debt,Inefficient use of capital to generate profits - RoCE declining in the last 2 years,Positive Breakout Third Resistance ( LTP > R3) ,No Threat for this stock,8.55,8.85,6.60,38.40
Suvidha Infraestate Corporation Ltd.,Food Processing,10.45,Increasing profits every quarter for the past 2 quarters,Low Piotroski Score : Companies with weak financials,Turnaround companies- loss to profit QoQ ,No Threat for this stock,10.45,10.45,8.13,21.75
Suven Pharmaceuticals Ltd.,Pharmaceuticals & Drugs,707.45,Company with Low Debt,Inefficient use of shareholder funds - ROE declining in the last 2 years,Positive Breakout Second Resistance  ( LTP > R2) ,No Threat for this stock,690.50,721.00,463.30,768.00
Sushree Trading Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
Suven Life Sciences Ltd.,Pharmaceuticals & Drugs,115.85,"Strong Momentum: Price above short, medium and long term moving averages",Degrowth in Revenue and Profit,Highest Recovery from 52 Week Low ,No Threat for this stock,114.95,121.90,45.00,129.00
Sushil Packaging (India) Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
Suvarna Apparel and Fashion Exports. Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
Sushila Pulp and Papers Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
Suryodaya Allo Metal Powders Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
Sutlej Textiles and Industries Ltd.,Textiles & Apparel,64.60,"Strong Momentum: Price above short, medium and long term moving averages",Degrowth in Revenue and Profit,Positive Breakout Second Resistance  ( LTP > R2) ,No Threat for this stock,61.70,64.75,38.00,70.00
Suryo Food and Industries Ltd.,Consumer Food,16.89,"Strong Momentum: Price above short, medium and long term moving averages",Poor cash generated from core business - Declining Cash Flow from Operations for last 2 years,Highest Recovery from 52 Week Low ,No Threat for this stock,16.89,16.89,6.51,20.15
Suryodaya Investment & Trading Co. Ltd.,Finance - Investments,5.14,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,5.14,5.14,0.00,0.00
Suryodaya Plastics Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
Suumaya Corporation Ltd.,Trading,8.40,Company with Low Debt,Inefficient use of capital to generate profits - RoCE declining in the last 2 years,No Opportunity for this stock,No Threat for this stock,8.40,8.59,5.97,16.70
Suryoday Small Finance Bank Ltd.,Bank - Private,170.90,"Strong Momentum: Price above short, medium and long term moving averages",Companies with High Debt,Decrease in NPA in recent results ,No Threat for this stock,168.40,173.85,90.50,194.55
Sushant Capitals Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
Suryachakra Seafoods Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
Suryajyoti Spinning Mills Ltd.,Textiles - Spinning - Cotton Blended,4.30,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,4.30,4.30,3.90,6.52
Surya Pharmaceutical Ltd.,Pharmaceuticals,0.16,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,0.16,0.16,0.15,1.49
Suryavanshi Spinning Mills Ltd.,Textiles & Apparel,28.50,"Strong Momentum: Price above short, medium and long term moving averages",Inefficient use of capital to generate profits - RoCE declining in the last 2 years,Positive Breakout First Resistance ( LTP > R1) ,No Threat for this stock,25.71,29.47,19.40,31.24
Suryalata Spinning Mills Ltd.,Textiles & Apparel,485.25,Growth in Net Profit with increasing Profit Margin (QoQ),Degrowth in Revenue and Profit,RSI indicating price strength ,No Threat for this stock,485.00,500.00,294.15,1634.95
Suryalakshmi Cotton Mills Ltd.,Textiles & Apparel,75.99,Strong Annual EPS Growth,Promoters increased pledged shares QoQ,No Opportunity for this stock,No Threat for this stock,73.90,76.80,43.45,89.50
Surya Industrial Corporation Ltd.,Tyres,13.95,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,13.95,13.95,9.93,31.65
Surya Medicare Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
Suryakripa Finance Ltd.,Finance - Leasing & Hire Purchase,6.33,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,6.33,6.33,5.52,6.33
Surya Funcity Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
Suryaamba Spinning Mills Ltd.,Textiles & Apparel,181.40,Strong cash generating ability from core business - Improving Cash Flow from operation for last 2 years,Degrowth in Revenue and Profit,RSI indicating price strength ,No Threat for this stock,181.40,190.95,139.00,350.00
Surya Roshni Ltd.,Diversified,801.30,"Strong Momentum: Price above short, medium and long term moving averages",Poor cash generated from core business - Declining Cash Flow from Operations for last 2 years,Negative to Positive growth in Sales and Profit with Strong Price momentum ,Red Flag: Resignation of Top Management,801.30,830.00,295.00,841.65
Surlux Mediquip Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
Surya India Ltd.,Finance - Investments,18.25,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,18.25,18.25,13.12,18.25
Surlux Diagnostics Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
Suryachakra Power Corporation Ltd.,Power Generation/Distribution,0.60,Effectively using its capital to generate profit - RoCE improving in last 2 years,Negative Breakdown First Support (LTP < S1),Stock with Low PE (PE < = 10) ,No Threat for this stock,0.59,0.62,0.32,1.89
Surgiplast Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
Surlux Health Centres Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
Surya Murphy Richards Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
Suri Capital and Leasing Ltd.,IT Services & Consulting,3.41,Company able to generate Net Cash - Improving Net Cash Flow for last 2 years,Decline in Net Profit with falling Profit Margin (QoQ),Stock with Low PE (PE < = 10) ,No Threat for this stock,3.41,3.41,1.10,4.67
Suratwwala Business Group Ltd.,Construction - Real Estate,684.30,"Strong Momentum: Price above short, medium and long term moving averages",No weakness for this stock,Highest Recovery from 52 Week Low ,No Threat for this stock,681.35,686.50,10.00,714.50
Surya Agroils Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
Surana Corporation Ltd.,Trading,0.32,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,0.32,0.32,0.31,0.85
Surani Steel Tubes Ltd.,Iron & Steel,,"Strong Momentum: Price above short, medium and long term moving averages",Red Flag: High Interest Payments Compared to Earnings,Highest Recovery from 52 Week Low ,No Threat for this stock,364.00,384.75,29.00,395.25
Suraj Stone Corporation Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
Surana Telecom and Power Ltd.,Cables,15.78,Company with Low Debt,"Negative profit growth, promoters decreasing shareholding QoQ",Highest Recovery from 52 Week Low ,No Threat for this stock,15.65,16.15,7.60,17.55
Surat Trade and Mercantile Ltd.,Textiles & Apparel,10.76,"Strong Momentum: Price above short, medium and long term moving averages",Decline in Net Profit with falling Profit Margin (QoQ),RSI indicating price strength ,No Threat for this stock,10.72,11.10,5.80,12.48
Supriya Pharmaceuticals Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
Surana Solar Ltd.,Electronics - Components,39.95,"Strong Momentum: Price above short, medium and long term moving averages","Negative profit growth, promoters decreasing shareholding QoQ",Positive Breakout Third Resistance ( LTP > R3) ,No Threat for this stock,39.95,39.95,14.70,39.95
Surana Industries Ltd.,Iron & Steel,1.59,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,1.59,1.59,1.59,4.40
Suraj Securities and Finance Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
Surbhi Industries. Ltd.,Textiles - Processing,0.00,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,0.00,0.00,0.80,0.95
Suraj Estate Developers Ltd.,Construction - Real Estate,341.35,Effectively using its capital to generate profit - RoCE improving in last 2 years,Red Flag: High Interest Payments Compared to Earnings,No Opportunity for this stock,No Threat for this stock,340.50,347.40,324.05,364.80
Supriya Lifescience Ltd.,Pharmaceuticals & Drugs,309.60,"Strong Momentum: Price above short, medium and long term moving averages",MFs decreased their shareholding last quarter,Positive Breakout First Resistance ( LTP > R1) ,No Threat for this stock,305.00,313.00,170.15,332.65
Suraj Products Ltd.,Iron & Steel,403.00,Growth in Quarterly Net Profit with increasing Profit Margin (YoY),Decline in Net Profit (QoQ),Highest Recovery from 52 Week Low ,No Threat for this stock,400.00,409.00,116.50,455.60
Supreme Petrochem Ltd.,Speciality Chemicals,544.40,Company with No Debt,MFs decreased their shareholding last quarter,Brokers upgraded recommendation or target price in the past three months ,No Threat for this stock,541.70,554.40,345.30,618.00
Suraj Industries Ltd.,Vegetable Oils & Products,107.50,Company with Low Debt,Negative Breakdown First Support (LTP < S1),RSI indicating price strength ,No Threat for this stock,105.15,107.95,0.95,107.95
Supreme Tex Mart Ltd.,Textiles & Apparel,0.57,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,0.57,0.57,0.56,5.00
Suraj Ltd.,Iron & Steel,248.85,"Strong Momentum: Price above short, medium and long term moving averages",Declining Net Cash Flow : Companies not able to generate net cash,Positive Breakout First Resistance ( LTP > R1) ,No Threat for this stock,230.10,248.85,61.65,248.85
Surabhi Chemicals & Investments Ltd.,Finance - Investments,99.40,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,98.80,101.00,58.80,122.00
Supreme Orient Films. Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
Supreme Telecom and Network India Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
Supreme Power Equipment Ltd.,Electronics - Components,,New 52 week high today,Low Piotroski Score : Companies with weak financials,Highest Recovery from 52 Week Low ,No Threat for this stock,192.00,204.00,65.00,204.00
Supreme Conductors Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
Supreme Holdings & Hospitality Ltd.,Construction - Real Estate,65.71,Company with Low Debt,Degrowth in Revenue and Profit,Positive Breakout First Resistance ( LTP > R1) ,No Threat for this stock,65.00,66.88,58.00,121.30
Suprapti Plastics Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
Supreme Engineering  Ltd.,Iron & Steel,,Increasing Revenue every quarter for the past 3 quarters,Negative Breakdown First Support (LTP < S1),Stock with Low PE (PE < = 10) ,No Threat for this stock,1.00,1.10,0.50,1.25
Suprajit Engineering Ltd.,Auto Ancillaries - Others,394.20,Growth in Net Profit with increasing Profit Margin (QoQ),Decline in Quarterly Net Profit with falling Profit Margin (YoY),Negative to Positive growth in Sales and Profit with Strong Price momentum ,No Threat for this stock,391.60,396.95,317.25,446.40
Supreme (India) Impex Ltd.,Textiles & Apparel,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
Supreme Infrastructure India Ltd.,Construction - Infrastructure,57.87,"Strong Momentum: Price above short, medium and long term moving averages",Degrowth in Revenue and Profit,Highest Recovery from 52 Week Low ,No Threat for this stock,58.35,58.35,19.65,65.35
Supra Pacific Financial Services Ltd.,Finance - NBFC,26.59,"Strong Momentum: Price above short, medium and long term moving averages",Red Flag: High Interest Payments Compared to Earnings,Positive Breakout First Resistance ( LTP > R1) ,No Threat for this stock,24.81,26.79,15.02,32.00
Supershakti Metaliks Ltd.,Iron & Steel,575.00,"Strong Momentum: Price above short, medium and long term moving averages",No weakness for this stock,RSI indicating price strength ,No Threat for this stock,575.00,575.00,270.00,575.00
Superstar Welding Industries Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
Supreme Industries Ltd.,Plastics - Moulded Articles and Furnitures,"4,119.40",Company with high TTM EPS Growth,MFs decreased their shareholding last quarter,Brokers upgraded recommendation or target price in the past three months ,No Threat for this stock,4110.00,4190.00,2335.00,4888.00
Supra Trends Ltd.,Finance - Investments,37.09,"Strong Momentum: Price above short, medium and long term moving averages",Poor cash generated from core business - Declining Cash Flow from Operations for last 2 years,Stock with Low PE (PE < = 10) ,No Threat for this stock,37.09,37.09,19.55,37.09
Superior Air Products Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
Supertex Industries Ltd.,Textiles & Apparel,11.60,"Strong Momentum: Price above short, medium and long term moving averages",Red Flag: High Interest Payments Compared to Earnings,Negative to Positive growth in Sales and Profit with Strong Price momentum ,No Threat for this stock,11.55,12.05,8.71,13.87
Superstar Distilleries and Foods Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
Superior Sox Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
Supplementary Foods (India) Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
Superhouse Ltd.,Leather,262.85,"Strong Momentum: Price above short, medium and long term moving averages",Degrowth in Revenue and Profit,Negative to Positive growth in Sales and Profit with Strong Price momentum ,No Threat for this stock,262.30,271.90,190.15,286.70
Super Tannery Ltd.,Leather,11.00,"Strong Momentum: Price above short, medium and long term moving averages",Decline in Quarterly Net Profit with falling Profit Margin (YoY),Negative to Positive growth in Sales and Profit with Strong Price momentum ,No Threat for this stock,10.65,11.45,5.45,11.98
Super Syncotex Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
Superior Finlease Ltd.,Finance - Investment,1.99,Strong Annual EPS Growth,Degrowth in Revenue and Profit,Stock with Low PE (PE < = 10) ,No Threat for this stock,1.99,1.99,1.11,2.46
Superior Industrial Enterprises Ltd.,Vegetable Oils & Products,49.00,Company with high TTM EPS Growth,Inefficient use of assets to generate profits - ROA declining in the last 2 years,Positive Breakout Second Resistance  ( LTP > R2) ,No Threat for this stock,49.00,50.29,38.95,81.00
Super Spinning Mills Ltd.,Textiles & Apparel,8.28,Company with Low Debt,Degrowth in Revenue and Profit,Stock with Low PE (PE < = 10) ,No Threat for this stock,8.35,8.40,5.40,11.60
Super Sales India Ltd.,Textiles & Apparel,"1,497.30","Strong Momentum: Price above short, medium and long term moving averages",Degrowth in Revenue and Profit,Results Screener: Stocks with upcoming results which are seeing positive shifts in share price ,No Threat for this stock,1467.70,1510.00,681.00,1624.35
Sunstar Chemicals Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
Super Fine Knitters Ltd.,Textiles & Apparel,13.00,"Strong Momentum: Price above short, medium and long term moving averages",No weakness for this stock,No Opportunity for this stock,No Threat for this stock,13.00,13.00,4.50,15.40
Super Domestic Machines Ltd.,Trading,0.38,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,0.38,0.38,0.39,0.66
Super Crop Safe Ltd.,Pesticides & Agrochemicals,19.35,"Strong Momentum: Price above short, medium and long term moving averages",Declining Net Cash Flow : Companies not able to generate net cash,Positive Breakout Third Resistance ( LTP > R3) ,No Threat for this stock,18.43,19.35,4.55,19.35
Super Forgings Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
Sunstar Lubricants Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
